company_name_id,transaction_internalid,trandate,region_name,sales,sales_quantity,cogs,gross_profit,Gross Margin
33976 Eastex Golf Cars,55929173.0,2020-12-30 00:00:00 UTC,South Region,2169.84,24.0,-1199.4,970.4399999999997,0.4472403495188584
33976 Eastex Golf Cars,55929177.0,2020-12-30 00:00:00 UTC,South Region,2893.12,32.0,-1599.21,1293.91,0.44723689304280495
33976 Eastex Golf Cars,56196188.0,2021-01-08 00:00:00 UTC,South Region,1040.52,12.0,-535.47,505.05,0.4853823088455772
33976 Eastex Golf Cars,56655574.0,2021-01-21 00:00:00 UTC,South Region,282.33,3.0,-166.45,115.88,0.4104416817199731
33976 Eastex Golf Cars,57096218.0,2021-02-03 00:00:00 UTC,South Region,406.59,5.0,-96.07,310.52,0.7637177500676356
33976 Eastex Golf Cars,57349087.0,2021-02-11 00:00:00 UTC,South Region,688.52,4.0,-362.9,325.62,0.4729274385638762
33976 Eastex Golf Cars,57349293.0,2021-02-11 00:00:00 UTC,South Region,1654.38,18.0,-798.1800000000002,856.2,0.5175352700105176
33976 Eastex Golf Cars,57807920.0,2021-02-25 00:00:00 UTC,South Region,1473.0100000000002,14.0,-767.63,705.3800000000003,0.4788697972179416
33976 Eastex Golf Cars,58232328.0,2021-03-11 00:00:00 UTC,South Region,1748.58,18.0,-941.48,807.0999999999998,0.4615745347653524
33976 Eastex Golf Cars,58396769.0,2021-03-17 00:00:00 UTC,South Region,1102.92,12.0,-551.43,551.4900000000001,0.5000272005222501
33976 Eastex Golf Cars,58809268.0,2021-03-31 00:00:00 UTC,South Region,765.4399999999998,8.0,-374.37,391.07,0.510908758361204
33976 Eastex Golf Cars,59007684.0,2021-04-07 00:00:00 UTC,South Region,1197.12,12.0,-675.7,521.4199999999998,0.4355620155038759
33976 Eastex Golf Cars,59288544.0,2021-04-15 00:00:00 UTC,South Region,2300.04,24.0,-1234.34,1065.7,0.4633397680040348
33976 Eastex Golf Cars,59524108.0,2021-04-22 00:00:00 UTC,South Region,2965.62,30.0,-1513.66,1451.96,0.4895974534835886
33976 Eastex Golf Cars,59720198.0,2021-04-28 00:00:00 UTC,South Region,1196.04,12.0,-617.1700000000002,578.8699999999999,0.4839888298050232
33976 Eastex Golf Cars,60178081.0,2021-05-12 00:00:00 UTC,South Region,2562.96,26.0,-1297.59,1265.37,0.4937142990916752
33976 Eastex Golf Cars,60436880.0,2021-05-20 00:00:00 UTC,South Region,793.38,8.0,-381.36,412.02,0.5193223928004235
33976 Eastex Golf Cars,60640746.0,2021-05-26 00:00:00 UTC,South Region,2392.08,24.0,-1261.69,1130.39,0.4725552657101769
33976 Eastex Golf Cars,60882554.0,2021-06-03 00:00:00 UTC,South Region,1245.0,12.0,-693.3399999999998,551.6600000000002,0.4431004016064258
